iter	Passed	Remaining
564	3879	2986
565	3886	2979
566	3892	2972
567	3899	2965
568	3905	2958
569	3912	2951
570	3919	2944
571	3925	2937
572	3932	2930
573	3938	2923
574	3945	2915
575	3951	2909
576	3957	2901
577	3964	2894
578	3971	2887
579	3977	2880
580	3983	2873
581	3991	2866
582	3997	2859
583	4004	2852
584	4011	2845
585	4017	2838
586	4023	2831
587	4030	2823
588	4037	2817
589	4043	2810
590	4050	2803
591	4057	2796
592	4063	2789
593	4069	2781
594	4077	2775
595	4082	2767
596	4089	2760
597	4095	2753
598	4102	2746
599	4108	2739
600	4115	2731
601	4121	2724
602	4127	2717
603	4133	2710
604	4140	2703
605	4147	2696
606	4153	2689
607	4160	2682
608	4167	2675
609	4173	2668
610	4179	2660
611	4185	2653
612	4193	2647
613	4200	2640
614	4206	2633
615	4212	2626
616	4218	2618
617	4227	2613
618	4238	2608
619	4248	2603
620	4256	2597
621	4264	2591
622	4273	2585
623	4279	2578
624	4286	2571
625	4293	2565
626	4300	2558
627	4306	2551
628	4313	2544
629	4320	2537
630	4326	2530
631	4333	2523
632	4339	2516
633	4346	2508
634	4352	2501
635	4357	2494
636	4364	2487
637	4371	2480
638	4377	2473
639	4383	2465
640	4390	2458
641	4396	2451
642	4403	2445
643	4410	2438
644	4416	2430
645	4423	2423
646	4429	2416
647	4435	2409
648	4440	2401
649	4447	2394
650	4453	2387
651	4458	2379
652	4464	2372
653	4470	2365
654	4477	2358
655	4484	2351
656	4490	2344
657	4498	2337
658	4506	2331
659	4512	2324
660	4523	2320
661	4539	2317
662	4556	2315
663	4569	2312
664	4582	2308
665	4596	2305
666	4606	2299
667	4612	2292
668	4620	2286
669	4627	2278
670	4634	2272
671	4641	2265
672	4647	2258
673	4653	2250
674	4659	2243
675	4666	2236
676	4673	2229
677	4680	2222
678	4686	2215
679	4694	2209
680	4700	2201
681	4707	2194
682	4713	2187
683	4721	2181
684	4727	2174
685	4734	2166
686	4740	2159
687	4748	2153
688	4756	2146
689	4764	2140
690	4771	2133
691	4776	2126
692	4782	2118
693	4790	2112
694	4797	2105
695	4803	2097
696	4809	2090
697	4816	2083
698	4822	2076
699	4830	2070
700	4835	2062
701	4842	2055
702	4849	2048
703	4856	2041
704	4862	2034
705	4869	2027
706	4875	2020
707	4882	2013
708	4888	2006
709	4895	1999
710	4901	1992
711	4908	1985
712	4914	1978
713	4920	1970
714	4926	1963
715	4932	1956
716	4944	1951
717	4950	1944
718	4960	1938
719	4966	1931
720	4974	1924
721	4981	1917
722	4987	1910
723	4993	1903
724	5000	1896
725	5006	1889
726	5014	1882
727	5021	1876
728	5028	1869
729	5035	1862
730	5041	1855
731	5047	1847
732	5053	1840
733	5059	1833
734	5066	1826
735	5073	1819
736	5081	1813
737	5087	1806
738	5094	1799
739	5101	1792
740	5107	1785
741	5113	1778
742	5120	1771
743	5126	1764
744	5133	1757
745	5139	1749
746	5145	1742
747	5152	1735
748	5158	1728
749	5164	1721
750	5170	1714
751	5177	1707
752	5183	1700
753	5190	1693
754	5196	1686
755	5203	1679
756	5209	1672
757	5216	1665
758	5222	1658
759	5227	1650
760	5234	1643
761	5240	1636
762	5247	1629
763	5255	1623
764	5262	1616
765	5268	1609
766	5274	1602
767	5281	1595
768	5287	1588
769	5294	1581
770	5301	1574
771	5306	1567
772	5312	1560
773	5318	1553
774	5324	1545
775	5331	1538
776	5338	1532
777	5343	1524
778	5350	1517
